EmailAddress,SubscriberKey,FirstName,LastName,Country,OptInDate,OptInSource,Interest,myNTOLevel,myNTOBalance,Gender,Birthday,StoreId,Newsletter,Promotion,Customer,PreferredName
reedelizabeth@hotmail.com,89f6a5e4-37cc-4fc1-a051-96d6644ea094,Kelly,Barker,UK,11/10/2022 12:00:00 AM,Mobile App,Tennis,Platinum,3687,Non-Binary,3/25/2003 12:00:00 AM,1,True,True,True,B Kelly
davidacosta@hotmail.com,b142a51f-5b5d-4ffd-8332-5c78c5d75407,Stephen,Frederick,Australia,9/14/2024 12:00:00 AM,Social Media,Cycling,Silver,1638,Female,11/26/1996 12:00:00 AM,2,True,True,True,Steph
adamsandrea@gmail.com,850a759c-cea3-425d-a8ee-a368d00a1640,Danielle,Miller,India,3/9/2025 12:00:00 AM,Mobile App,Golf,Bronze,606,Female,1/17/1948 12:00:00 AM,3,True,True,True,
ochoaseth@yahoo.com,cfc39966-fa16-42bb-8ee9-72a3d524a78a,Kristen,Gordon,Germany,4/18/2020 12:00:00 AM,Mobile App,Golf,Bronze,1041,Male,6/23/1964 12:00:00 AM,4,True,True,True,
hgarza@miller.com,0a7d3320-0901-4fd2-af73-ec9de18008fe,Christina,Gallegos,South Africa,4/4/2022 12:00:00 AM,Social Media,Soccer,Gold,8525,Non-Binary,1/13/1957 12:00:00 AM,5,True,True,True,
ngibbs@kim.com,c1f1a357-c23c-4201-b667-dbfe852440c7,Catherine,Gonzales,Brazil,9/29/2021 12:00:00 AM,Mobile App,Cricket,Platinum,4897,Non-Binary,7/11/1962 12:00:00 AM,6,False,False,False,
samanthaparsons@gmail.com,0a36299c-a932-4071-ae31-0a947f956bd1,Sarah,Kennedy,South Africa,5/24/2023 12:00:00 AM,Social Media,Golf,Bronze,500,Female,7/9/1960 12:00:00 AM,7,True,True,True,
dunnbrittany@yahoo.com,10d991c5-4d51-4f93-b15d-af10c4c7441c,Michelle,Ho,Australia,4/13/2024 12:00:00 AM,Mobile App,Cricket,Platinum,8891,Female,1/2/1969 12:00:00 AM,8,True,True,True,
ahernandez@yahoo.com,81c3732f-01f2-4b01-9df4-64e323e75814,Glenn,Orozco,Germany,1/14/2025 12:00:00 AM,Mobile App,Gymnastics,Silver,1334,Female,4/7/1988 12:00:00 AM,9,True,True,False,
beckyhill@nixon-williams.com,ca146f63-e331-4794-bb43-8f62560f6deb,Natasha,Rhodes,Germany,1/20/2024 12:00:00 AM,Referral,Basketball,Platinum,3867,Female,5/16/1967 12:00:00 AM,10,False,False,False,
jeremy59@gmail.com,1660fb04-48a1-4a6f-b687-b163aa92e34c,Susan,Kennedy,UK,10/16/2023 12:00:00 AM,Social Media,Cricket,Platinum,8684,Male,7/19/1956 12:00:00 AM,11,False,False,False,
