Email,FirstName,CustomerID,ProductName,OrderDate,TrialStartDate,SubscriptionDate,BirthDate
figueroajohn@example.org,Danielle,CUST2869,PowerTool 3000,1/2/2025 12:00:00 AM,1/18/2025 12:00:00 AM,2/20/2025 12:00:00 AM,7/21/2001 12:00:00 AM
smoore@example.org,Heather,CUST7427,Widget Pro,3/28/2025 12:00:00 AM,1/4/2025 12:00:00 AM,2/12/2025 12:00:00 AM,1/2/1983 12:00:00 AM
jonesjason@example.com,Christine,CUST2546,SmartLight,5/26/2024 12:00:00 AM,11/30/2024 12:00:00 AM,1/6/2025 12:00:00 AM,11/30/1957 12:00:00 AM
sarah12@example.com,Elizabeth,CUST9996,Widget Pro,5/20/2024 12:00:00 AM,10/24/2024 12:00:00 AM,12/5/2024 12:00:00 AM,8/4/1983 12:00:00 AM
fletcheraaron@example.net,James,CUST6156,SmartLight,12/15/2024 12:00:00 AM,2/27/2025 12:00:00 AM,4/1/2025 12:00:00 AM,5/1/1993 12:00:00 AM
elizabeth56@example.net,Rachel,CUST5394,EcoSpeaker,7/25/2024 12:00:00 AM,10/27/2024 12:00:00 AM,11/26/2024 12:00:00 AM,7/21/1976 12:00:00 AM
campbellelizabeth@example.net,Gene,CUST6761,EcoSpeaker,8/8/2024 12:00:00 AM,2/9/2025 12:00:00 AM,2/24/2025 12:00:00 AM,1/29/1994 12:00:00 AM
lindsayhernandez@example.org,Emily,CUST6695,Gadget Mini,7/6/2024 12:00:00 AM,12/19/2024 12:00:00 AM,1/12/2025 12:00:00 AM,4/22/1999 12:00:00 AM
kmercado@example.org,Charles,CUST8624,Gadget Mini,12/26/2024 12:00:00 AM,12/5/2024 12:00:00 AM,1/5/2025 12:00:00 AM,6/14/1975 12:00:00 AM
pwilliams@example.org,Heather,CUST9108,PowerTool 3000,9/22/2024 12:00:00 AM,2/6/2025 12:00:00 AM,3/13/2025 12:00:00 AM,8/25/1989 12:00:00 AM
stephanie79@example.net,Vanessa,CUST1529,Widget Pro,2/28/2025 12:00:00 AM,12/11/2024 12:00:00 AM,1/23/2025 12:00:00 AM,5/1/2002 12:00:00 AM
tracynelson@example.com,Robert,CUST5425,Widget Pro,4/18/2024 12:00:00 AM,11/28/2024 12:00:00 AM,12/15/2024 12:00:00 AM,4/6/1990 12:00:00 AM
kathleen64@example.com,Shawn,CUST9709,PowerTool 3000,7/9/2024 12:00:00 AM,10/20/2024 12:00:00 AM,11/6/2024 12:00:00 AM,4/19/1955 12:00:00 AM
melissa91@example.net,Curtis,CUST8815,Gadget Mini,1/19/2025 12:00:00 AM,11/29/2024 12:00:00 AM,12/30/2024 12:00:00 AM,12/21/1976 12:00:00 AM
ryangross@example.net,Steve,CUST6873,EcoSpeaker,7/15/2024 12:00:00 AM,2/7/2025 12:00:00 AM,3/15/2025 12:00:00 AM,10/16/1982 12:00:00 AM
lpetersen@example.com,Timothy,CUST1179,EcoSpeaker,8/3/2024 12:00:00 AM,11/14/2024 12:00:00 AM,12/24/2024 12:00:00 AM,10/21/2003 12:00:00 AM
dsanchez@example.net,Joshua,CUST4172,Gadget Mini,11/17/2024 12:00:00 AM,12/4/2024 12:00:00 AM,12/29/2024 12:00:00 AM,10/16/1955 12:00:00 AM
tonykelly@example.com,Melissa,CUST7890,Gadget Mini,8/10/2024 12:00:00 AM,2/18/2025 12:00:00 AM,4/2/2025 12:00:00 AM,6/7/1991 12:00:00 AM
joannahill@example.net,Jacob,CUST5267,SmartLight,3/31/2025 12:00:00 AM,12/26/2024 12:00:00 AM,1/18/2025 12:00:00 AM,4/8/1969 12:00:00 AM
kennethward@example.com,Craig,CUST7152,SmartLight,4/13/2024 12:00:00 AM,12/28/2024 12:00:00 AM,2/7/2025 12:00:00 AM,10/22/1968 12:00:00 AM
tammyking@example.com,Scott,CUST7846,PowerTool 3000,5/19/2024 12:00:00 AM,10/17/2024 12:00:00 AM,11/26/2024 12:00:00 AM,5/1/1980 12:00:00 AM
